airport_id,name,city,country,latitude,longitude,geolocation
128,AINSWORTH MUN,AINSWORTH,UNITED STATES,42.579167,-99.993056,AAAAAAEBAAAAEvbtJCJKRUAuxsA6jv9YwA==
130,AIOUN-EL-ATROUSS,AIOUN-EL-ATROUSS,MAURITANIA,16.716667,-9.633333,AAAAAAEBAAAAWB8PfXe3MECE9BQ5REQjwA==
133,AIRBORNE,WILMINGTON,UNITED STATES,39.428056,-83.792222,AAAAAAEBAAAApG38icq2Q0D9SufDs/JUwA==
134,AIRDRIE,AIRDRIE,CANADA,51.263889,-113.935,AAAAAAEBAAAAF2NgHcehSUCkcD0K13tcwA==
135,AIRE-SUR-L'ADOUR,AIRE-SUR-L'ADOUR,FRANCE,43.709444,-0.245278,AAAAAAEBAAAA9SudD8/aRUAk0jb+RGXPvw==
138,AIRLAKE,MINNEAPOLIS,UNITED STATES,44.627778,-93.228056,AAAAAAEBAAAA+5KNB1tQRkAFajF4mE5XwA==
144,AISHALTON,AISHALTON,GUYANA,2.473611,-59.321111,AAAAAAEBAAAA9DRgkPTJA0BksU0qGqlNwA==
145,AITKIN MUN - KURTZ,AITKIN,UNITED STATES,46.548333,-93.676667,AAAAAAEBAAAApiiXxi9GR0AT0hqDTmtXwA==
146,AIX-LES-BAINS,CHAMBERY,FRANCE,45.639167,5.88,AAAAAAEBAAAAWtdoOdDRRkCF61G4HoUXQA==
149,AKATOKA MANAVA,MAUKE,COOK IS,-20.138889,-157.3375,AAAAAAEBAAAALsbAOo4jNMDNzMzMzKpjwA==
150,AKENO AERO,AKENO,JAPAN,34.533333,136.672222,AAAAAAEBAAAAVHB4QUREQUDbNLbXghVhQA==
151,AKETI,AKETI,CONGO,2.7,23.833333,AAAAAAEBAAAAmpmZmZmZBUB1rb1PVdU3QA==
153,AKHISAR AB,AKHISAR,TURKEY,38.808333,27.834444,AAAAAAEBAAAAh6OrdHdnQ0DrVzofntU7QA==
156,AKINCI AB,ANKARA,TURKEY,40.082222,32.566389,AAAAAAEBAAAAgIEgQIYKREA26Etvf0hAQA==
157,AKITA,AKITA,JAPAN,39.615556,140.218611,AAAAAAEBAAAApG38icrOQ0B48X7c/oZhQA==
158,AKJOUJT,AKJOUJT,MAURITANIA,19.733333,-14.383333,AAAAAAEBAAAA2xMktru7M0CE9BQ5RMQswA==
159,AKLAVIK,AKLAVIK,CANADA,68.223333,-135.005833,AAAAAAEBAAAAhsd+FksOUUCaB7DIL+BgwA==
160,AKOBO,AKOBO,SUDAN,7.783333,33.0,AAAAAAEBAAAAoYLDCyIiH0AAAAAAAIBAQA==
161,AKOLA,AKOLA,INDIA,20.697778,77.058889,AAAAAAEBAAAASN45lKGyNEAGRl7WxENTQA==
163,AKPAKA,ATAKPAME,TOGO,7.516667,1.2,AAAAAAEBAAAAkrBvJxERHkAzMzMzMzPzPw==
164,AKRON FULTON INTL,AKRON,UNITED STATES,41.0375,-81.466944,AAAAAAEBAAAAzczMzMyEREAPRBZp4l1UwA==
167,AKRON-CANTON REGL,AKRON,UNITED STATES,40.916389,-81.4425,AAAAAAEBAAAAA7UYPEx1REC4HoXrUVxUwA==
168,AKROTIRI AB,AKROTIRI,CYPRUS,34.590278,32.987778,AAAAAAEBAAAALsbAOo5LQUCp2m6Cb35AQA==
169,AKTAU,AKTAU,KAZAKHSTAN,43.86,51.091944,AAAAAAEBAAAArkfhehTuRUAeiCzSxItJQA==
170,AKTION AB,PREVEZA,GREECE,38.926111,20.766667,AAAAAAEBAAAAobskzop2Q0Al7NtJRMQ0QA==
171,AKTYUBINSK,AKTYUBINSK,KAZAKHSTAN,50.245,57.203333,AAAAAAEBAAAAj8L1KFwfSUBKmdTQBppMQA==
172,AKULIVIK,AKULIVIK,CANADA,60.818611,-78.148611,AAAAAAEBAAAAq5LIPshoTkDbNLbXgolTwA==
173,AKURE,AKURE,NIGERIA,7.246667,5.301667,AAAAAAEBAAAAfgIoRpb8HEA2Ia0x6DQVQA==
174,AKUREYRI,AKUREYRI,ICELAND,65.658611,-18.072222,AAAAAAEBAAAAS3LAriZqUEA9DRgkfRIywA==
175,AL AHSA,AL AHSA,SAUDI ARABIA,25.285278,49.485,AAAAAAEBAAAAr0Sg+gdJOUCuR+F6FL5IQA==
176,AL AIN INTL,AL AIN,UNITED ARAB EMIRATES,24.261667,55.609167,AAAAAAEBAAAAQ3HHm/xCOEC2Zisv+c1LQA==
177,AL ALAMAIN INTL,AL ALAMAIN,EGYPT,30.924444,28.461389,AAAAAAEBAAAAwvuqXKjsPkDxu+mWHXY8QA==
178,AL BAHA,AL BAHA,SAUDI ARABIA,20.296111,41.634167,AAAAAAEBAAAAYfw07s1LNEDpmV5iLNFEQA==
179,AL DHAFRA,AL DHAFRA,UNITED ARAB EMIRATES,24.248333,54.548333,AAAAAAEBAAAAf4RhwJI/OECmKJfGL0ZLQA==
180,AL JOUF,AL JOUF,SAUDI ARABIA,29.784722,40.101667,AAAAAAEBAAAAo3N+iuPIPUCNCpxsAw1EQA==
181,AL SAQR FIELD,AL SAQR FIELD,UNITED ARAB EMIRATES,25.752778,55.959444,AAAAAAEBAAAA9iUbD7bAOUD1K50Pz/pLQA==
184,ALAMOGORDO-WHITE SANDS REGL,ALAMOGORDO,UNITED STATES,32.84,-105.990556,AAAAAAEBAAAA7FG4HoVrQEDSNv5EZX9awA==
188,ALAVUS,ALAVUS,FINLAND,62.554722,23.573333,AAAAAAEBAAAAlC9oIQFHT0Czt5TzxZI3QA==
189,ALBACETE AB,ALBACETE,SPAIN,38.948333,-1.863333,AAAAAAEBAAAA2VvK+WJ5Q0DM64hDNtD9vw==
