airport_id,name,city,country,latitude,longitude,geolocation
3959,FOREST CITY MUN,FOREST CITY,UNITED STATES,43.234722,-93.624167,AAAAAAEBAAAAa9PYXgueRUCEDyVa8mdXwA==
3962,FORESTBURG,FORESTBURG,CANADA,52.574722,-112.084167,AAAAAAEBAAAAVyWRfZBJSkDBGfz9YgVcwA==
3964,FORLI,FORLI,ITALY,44.195,12.069722,AAAAAAEBAAAAKVyPwvUYRkCZnxuasiMoQA==
3965,FORMIGA APT,FORMIGA,BRAZIL,-20.395278,-45.483611,AAAAAAEBAAAAC9Ri8DBlNMAxfhr35r1GwA==
3966,FORMIGA,FORMIGA,BRAZIL,-20.395278,-45.483611,AAAAAAEBAAAAC9Ri8DBlNMAxfhr35r1GwA==
3967,FORMOSA,FORMOSA,ARGENTINA,-26.212778,-58.228056,AAAAAAEBAAAA7E53nng2OsAL1GLwMB1NwA==
3968,FORMOSA,FORMOSA,BRAZIL,-15.556111,-47.345278,AAAAAAEBAAAAR+S7lLocL8CfA8sRMqxHwA==
3969,FORONDA,VITORIA,SPAIN,42.882778,-2.724444,AAAAAAEBAAAAbNCX3v5wRUB0RL5LqcsFwA==
3970,FORQUILHINHA,CRICIUMA,BRAZIL,-28.724444,-49.421389,AAAAAAEBAAAAjsh3KXW5PMBz8iIT8LVIwA==
3971,FORREST CITY MUN,FORREST CITY,UNITED STATES,34.941944,-90.775,AAAAAAEBAAAA61T5npF4QUCamZmZmbFWwA==
3972,FORREST,FORREST,AUSTRALIA,-30.838056,128.115,AAAAAAEBAAAAcjeI1orWPsBI4XoUrgNgQA==
3973,FORSSA,FORSSA,FINLAND,60.801944,23.645556,AAAAAAEBAAAAmZzaGaZmTkCQvHMoQ6U3QA==
3974,FORT ERIE,FORT ERIE,CANADA,42.916667,-78.955556,AAAAAAEBAAAARSkhWFV1RUDIX1rUJ71TwA==
3975,FORT GRAHAM,FORT GRAHAM,CANADA,56.521667,-124.468333,AAAAAAEBAAAAgzP4+8VCTEDOqPkq+R1fwA==
3976,FORT LANGLEY,FORT LANGLEY,CANADA,49.166667,-122.55,AAAAAAEBAAAARSkhWFWVSEAzMzMzM6NewA==
3977,FORT MAGSAYSAY,FORT MAGSAYSAY APT,PHILIPPINES,15.433889,121.087222,AAAAAAEBAAAANDDysibeLkB4X5ULlUVeQA==
